,running times
0,117.3013551235199
1,160.7259805202484
2,121.40418910980225
3,157.99232935905457
4,78.71963000297546
5,134.6994435787201
6,173.51248621940613
7,228.08846497535706
8,175.79586720466614
9,89.71806263923645
10,195.93396663665771
11,143.03670954704285
12,92.2175681591034
13,201.83939456939697
14,158.13469243049622
15,149.60843229293823
16,178.866046667099
17,111.37412524223328
18,172.12388110160828
19,101.92247653007507
20,181.51823329925537
21,102.22507357597351
22,168.1554741859436
23,152.65501189231873
24,259.87559604644775
25,148.47771644592285
26,217.8982973098755
27,229.8440248966217
28,151.9061050415039
29,278.11166048049927
