,running times
0,826.4038732051849
1,818.4953281879425
2,1353.244623184204
3,742.1318476200104
4,859.800820350647
5,1079.568861246109
6,812.508971452713
7,916.0064113140106
8,1107.461788892746
9,1088.4211812019348
10,814.4961647987366
11,1127.9159746170044
12,774.9656550884247
13,929.5369336605072
14,846.5432326793671
15,1085.3524675369263
16,804.7253484725952
17,801.275554895401
18,1082.2737503051758
19,1021.6914620399475
20,952.0238599777222
21,1104.848293542862
22,1064.5175530910492
23,1031.216472864151
24,764.2441644668579
25,876.1128098964691
26,1095.6909973621368
27,845.8972787857056
28,1164.5828154087067
29,878.9115858078003
