,running times
0,100.03544569015503
1,97.90633344650269
2,92.3454041481018
3,116.18341422080994
4,98.82925415039062
5,121.06019377708435
6,123.6073362827301
7,97.54370999336243
8,114.22098326683044
9,127.21846961975098
10,91.2199330329895
11,103.0160961151123
12,113.15062499046326
13,121.57370233535767
14,128.30409717559814
15,130.78465700149536
16,128.33960437774658
17,152.70196437835693
18,144.7370789051056
19,118.14991569519043
20,143.7314739227295
21,160.0849528312683
22,142.80297303199768
23,157.7272617816925
24,160.9105348587036
25,168.04459190368652
26,160.5199167728424
27,142.43982195854187
28,150.2913658618927
29,131.92045712471008
