,running times
0,86.65066742897034
1,102.56100392341614
2,85.62610459327698
3,80.08080220222473
4,93.13207626342773
5,103.6800684928894
6,114.49578261375427
7,123.21380019187927
8,109.102383852005
9,115.78589868545532
10,119.50255846977234
11,123.34321880340576
12,103.8296754360199
13,105.30316615104675
14,124.75930261611938
15,120.33364987373352
16,119.09334778785706
17,124.58398032188416
18,109.82604479789734
19,117.05683588981628
20,177.17797756195068
21,134.29546475410461
22,152.49397587776184
23,123.4533474445343
24,158.24434542655945
25,131.89217948913574
26,170.36481714248657
27,156.27911376953125
28,165.81194305419922
29,174.38799619674683
