,running times
0,490.7046654224396
1,2181.702293395996
2,1994.43630194664
3,2365.5104625225067
4,2486.4577991962433
5,1883.407294511795
6,514.9512417316437
7,1993.0064151287079
8,549.5417914390564
9,2190.800787448883
10,2575.062587738037
11,2729.8138303756714
12,1764.1182744503021
13,1856.5691862106323
14,2134.9419968128204
15,2513.0128450393677
16,1538.3396880626678
17,798.5181767940521
18,2360.003466129303
19,2119.3784816265106
20,447.26214051246643
21,2679.750899076462
22,2619.9097306728363
23,666.050794839859
24,2030.4271149635315
25,2413.580598592758
26,2019.0584909915924
27,2318.1413741111755
28,539.6012501716614
29,2666.259020805359
