,running times
0,72.90926766395569
1,99.2479817867279
2,109.95324897766113
3,98.72876596450806
4,91.24069261550903
5,95.47041916847229
6,71.27876305580139
7,98.03571343421936
8,100.67730760574341
9,91.75303888320923
10,116.05110549926758
11,114.455162525177
12,110.51185917854309
13,100.03385806083679
14,88.50948309898376
15,125.99331903457642
16,105.88435935974121
17,127.0564022064209
18,139.9965739250183
19,140.6008596420288
20,135.16851234436035
21,128.64577221870422
22,148.7683024406433
23,117.35882925987244
24,129.73517727851868
25,128.2592294216156
26,155.87563967704773
27,153.14064764976501
28,172.75520753860474
29,121.190988779068
