,running times
0,88.06614828109741
1,144.78981924057007
2,130.94524359703064
3,121.65914416313171
4,112.28213477134705
5,95.13258028030396
6,115.22557544708252
7,175.84762740135193
8,145.2597804069519
9,128.91225719451904
10,132.06565856933594
11,151.56530594825745
12,141.8443648815155
13,129.15111184120178
14,162.8783369064331
15,117.04290890693665
16,95.40214824676514
17,167.31806588172913
18,156.38638138771057
19,175.89604783058167
20,192.13212871551514
21,185.52179145812988
22,129.83406162261963
23,189.99541783332825
24,161.19887256622314
25,152.67389822006226
26,156.90793108940125
27,196.257169008255
28,137.17319703102112
29,243.0092272758484
